     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;        100;     1246008.910;     1299101.580;     1254549.120;       13042.600 ( 1.040 %);     60.814
       IKJ;         234.375;           0.229;           0.000;        100;        100;     1269241.630;     1312199.890;     1273365.077;        7781.903 ( 0.611 %);     59.915
       IEX;         234.375;           0.229;           0.000;        100;        100;     1268850.180;     1282772.010;     1271668.859;        2818.922 ( 0.222 %);     59.995
    UNROLL;         234.375;           0.229;           0.000;        100;        100;      897878.150;      931251.190;      901904.121;        5953.493 ( 0.660 %);     84.592
     CBLAS;         234.375;           0.229;           0.000;        100;        100;      355717.950;      366698.300;      358480.720;        2460.889 ( 0.686 %);    212.826
  UNROLLx8;         234.375;           0.229;           0.000;        100;        100;      937063.650;      997641.570;      942205.678;       10916.405 ( 1.159 %);     80.974
