     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;        2802.161;         121.440;         122.590;         121.486;           0.199 ( 0.164 %);   6280.058
   UNROLL8;           1.562;           0.002;           0.000;        100;        100;        1602.477;          22.110;          22.590;          22.143;           0.102 ( 0.459 %);  34454.589
