     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;        1193.694;         128.500;         130.480;         128.576;           0.342 ( 0.266 %);   5933.774
   UNROLL8;           1.562;           0.002;           0.000;        100;        100;         499.062;          21.900;          22.280;          21.924;           0.068 ( 0.309 %);  34799.378
