     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;        3073.303;          97.830;         100.820;          97.931;           0.519 ( 0.530 %);   7790.565
   UNROLL8;           1.562;           0.002;           0.000;        100;        100;         202.499;          19.840;          20.240;          19.866;           0.071 ( 0.355 %);  38403.578
