     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;        100;     1269461.200;     1434550.030;     1292067.906;       42482.097 ( 3.288 %);     59.048
       IKJ;         234.375;           0.229;           0.000;        100;        100;     1268408.940;     1297380.280;     1272154.383;        5680.252 ( 0.447 %);     59.972
       IEX;         234.375;           0.229;           0.000;        100;        100;     1268680.050;     1284667.140;     1271746.868;        4022.191 ( 0.316 %);     59.991
    UNROLL;         234.375;           0.229;           0.000;        100;        100;      903018.280;     1026081.540;      911606.328;       24076.053 ( 2.641 %);     83.692
     CBLAS;         234.375;           0.229;           0.000;        100;        100;      355816.280;      367639.370;      358538.554;        2721.500 ( 0.759 %);    212.791
  UNROLLx8;         234.375;           0.229;           0.000;        100;        100;      946350.560;      993854.760;      963526.046;       13449.744 ( 1.396 %);     79.182
