     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;        1706.242;         121.420;         122.630;         121.473;           0.209 ( 0.172 %);   6280.747
   UNROLL8;           1.562;           0.002;           0.000;        100;        100;         683.444;          22.110;          23.520;          22.166;           0.244 ( 1.099 %);  34418.792
