     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;        1844.844;          43.450;          48.850;          43.616;           0.940 ( 2.154 %);  17492.168
   UNROLL8;           1.562;           0.002;           0.000;        100;        100;        1861.361;          14.640;          17.650;          14.738;           0.524 ( 3.552 %);  51767.250
