     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;        1546.166;         102.520;         106.200;         102.641;           0.639 ( 0.623 %);   7433.093
   UNROLL8;           1.562;           0.002;           0.000;        100;        100;         330.011;          22.110;          23.920;          22.172;           0.314 ( 1.417 %);  34410.324
