     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;        1869.374;         102.540;         106.010;         102.648;           0.604 ( 0.588 %);   7432.611
   UNROLL8;           1.562;           0.002;           0.000;        100;        100;         869.190;          22.110;          23.030;          22.152;           0.158 ( 0.715 %);  34440.921
