     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;         990.082;          96.620;          98.610;          96.683;           0.346 ( 0.358 %);   7891.141
  UNROLLx8;           1.562;           0.002;           0.000;        100;        100;        1087.557;          91.140;         298.710;          97.870;          36.136 (36.923 %);   7795.413
