     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;        2369.401;          75.630;          91.870;          87.594;           3.636 ( 4.151 %);   8709.927
   UNROLL8;           1.562;           0.002;           0.000;        100;        100;         583.247;          50.250;          64.640;          59.280;           2.445 ( 4.125 %);  12870.165
