     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;        2042.632;          24.860;          29.770;          25.020;           0.853 ( 3.408 %);  30492.814
  UNROLLx8;           1.562;           0.002;           0.000;        100;        100;         501.616;          44.650;          48.400;          44.770;           0.652 ( 1.456 %);  17041.425
