     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;         648.218;          91.140;          94.900;          91.265;           0.653 ( 0.716 %);   8359.592
  UNROLLx8;           1.562;           0.002;           0.000;        100;        100;         343.964;          91.520;          92.760;          91.570;           0.214 ( 0.234 %);   8331.762
