     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;        100;     1281280.180;     1315639.530;     1286353.752;        7377.162 ( 0.573 %);     59.310
       IKJ;         234.375;           0.229;           0.000;        100;        100;     1256252.280;     1266322.780;     1258959.261;        3271.859 ( 0.260 %);     60.601
       IEX;         234.375;           0.229;           0.000;        100;        100;     1279628.570;     1291252.640;     1282088.398;        2868.513 ( 0.224 %);     59.508
    UNROLL;         234.375;           0.229;           0.000;        100;        100;      899540.430;      906951.440;      901193.542;        1883.233 ( 0.209 %);     84.659
     CBLAS;         234.375;           0.229;           0.000;        100;        100;      356277.760;      362162.000;      358479.948;        1514.472 ( 0.422 %);    212.826
