     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;        100;      754763.660;      789754.230;      759672.809;        6693.001 ( 0.881 %);    100.430
       IKJ;         234.375;           0.229;           0.000;        100;        100;      444107.340;      451794.650;      447049.303;        1378.227 ( 0.308 %);    170.661
       IEX;         234.375;           0.229;           0.000;        100;        100;      438005.700;      496553.950;      442778.531;       10312.055 ( 2.329 %);    172.307
    UNROLL;         234.375;           0.229;           0.000;        100;        100;      598447.610;      607440.520;      600203.315;        2302.954 ( 0.384 %);    127.114
     CBLAS;         234.375;           0.229;           0.000;        100;        100;      355428.300;      478346.750;      361265.299;       21155.513 ( 5.856 %);    211.185
