     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;        100;     1246941.990;     1258919.160;     1250213.760;        3628.715 ( 0.290 %);     61.025
       IKJ;         234.375;           0.229;           0.000;        100;        100;      435943.980;      464422.150;      440053.206;        4920.097 ( 1.118 %);    173.374
       IEX;         234.375;           0.229;           0.000;        100;        100;      434939.510;      445196.370;      439168.128;        2427.950 ( 0.553 %);    173.724
    UNROLL;         234.375;           0.229;           0.000;        100;        100;      598330.800;      606132.930;      599728.566;        1883.729 ( 0.314 %);    127.214
     CBLAS;         234.375;           0.229;           0.000;        100;        100;      355926.080;      365028.420;      358024.602;        2192.405 ( 0.612 %);    213.097
