     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;        1205.353;         113.640;         127.740;         122.556;           3.852 ( 3.143 %);   6225.228
  UNROLLx8;           1.562;           0.002;           0.000;        100;        100;        2704.302;         114.840;         118.350;         116.201;           0.728 ( 0.627 %);   6565.693
