     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;         681.547;          63.600;          82.970;          72.795;           6.201 ( 8.519 %);  10480.723
  UNROLLx8;           1.562;           0.002;           0.000;        100;        100;         400.156;          96.830;         123.050;         108.696;           6.000 ( 5.520 %);   7019.036
