     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;         706.030;          93.860;          94.790;          93.907;           0.159 ( 0.169 %);   8124.444
  UNROLLx8;           1.562;           0.002;           0.000;        100;        100;         675.561;          91.530;          91.760;          91.554;           0.040 ( 0.044 %);   8333.196
