     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;         703.524;          98.170;         100.560;          98.247;           0.416 ( 0.423 %);   7765.551
  UNROLLx8;           1.562;           0.002;           0.000;        100;        100;         457.301;          90.350;          90.840;          90.369;           0.085 ( 0.094 %);   8442.454
