     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;        100;         614.086;         109.190;         117.190;         111.157;           1.452 ( 1.306 %);   6863.622
  UNROLLx8;           1.562;           0.002;           0.000;        100;        100;         592.331;         111.440;         114.360;         112.518;           0.697 ( 0.619 %);   6780.606
