     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;        100;     1267428.610;     1588705.900;     1308291.697;       60304.737 ( 4.609 %);     58.316
       IKJ;         234.375;           0.229;           0.000;        100;        100;      605629.960;      779358.530;      628897.425;       35591.378 ( 5.659 %);    121.314
       IEX;         234.375;           0.229;           0.000;        100;        100;      607618.580;      660619.220;      629540.397;       14430.005 ( 2.292 %);    121.190
    UNROLL;         234.375;           0.229;           0.000;        100;        100;      945038.020;     1057741.240;      970970.750;       25963.035 ( 2.674 %);     78.575
     CBLAS;         234.375;           0.229;           0.000;        100;        100;      355312.640;      360198.770;      357517.548;        1193.950 ( 0.334 %);    213.399
