     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;        100;     1266084.380;     1357081.550;     1276313.695;       19563.672 ( 1.533 %);     59.777
       IKJ;         234.375;           0.229;           0.000;        100;        100;      605619.070;      619404.700;      608234.886;        3636.121 ( 0.598 %);    125.435
       IEX;         234.375;           0.229;           0.000;        100;        100;      605981.320;      616865.660;      607793.785;        2892.958 ( 0.476 %);    125.526
    UNROLL;         234.375;           0.229;           0.000;        100;        100;      950696.470;      964356.990;      952997.865;        2896.967 ( 0.304 %);     80.057
     CBLAS;         234.375;           0.229;           0.000;        100;        100;      354784.730;      365067.920;      357475.452;        2468.940 ( 0.691 %);    213.424
