     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;        100;     1267002.380;     1470743.020;     1281199.013;       35052.369 ( 2.736 %);     59.549
       IKJ;         234.375;           0.229;           0.000;        100;        100;      605418.660;      687871.000;      615047.451;       15878.908 ( 2.582 %);    124.046
       IEX;         234.375;           0.229;           0.000;        100;        100;      604895.740;      633440.170;      608748.055;        6023.299 ( 0.989 %);    125.329
    UNROLL;         234.375;           0.229;           0.000;        100;        100;      945272.520;      996358.960;      953660.946;       11739.787 ( 1.231 %);     80.001
     CBLAS;         234.375;           0.229;           0.000;        100;        100;      356473.000;      379654.100;      360516.968;        5551.786 ( 1.540 %);    211.624
  UNROLLx8;         234.375;           0.229;           0.000;        100;        100;     1003797.310;     1196859.260;     1047600.025;       42533.971 ( 4.060 %);     72.827
